platform,domain,owner_name,link,pixelId,facebook_url,like_num,share_num,comment_num
SHOPIFY,southernsparkle-designs.myshopify.com,Southern Sparkle Designs,https://southernsparkle-designs.myshopify.com/products/cody-johnson-lyric-tumbler,,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMjg0OTcxMTA4NjUzOTg3IiwiYW5vbnltb3VzIjp0cnVlfQ:1jARed:V6UihO5zGGxTtVmPYLoMKEDTb5s,0,0,0
WOOCOMMERCE,gopostore.com,My Pet is Awesome,http://tinyurl.com/tne4nq7,265778770497148.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMjAxODE4OTM3MDM5NTI3IiwiYW5vbnltb3VzIjp0cnVlfQ:1jARed:-vHe5snFDztwD3e7OGWvFYVZtg4,34,14,7
SHOPIFY,designfullprint.com,Positive Vibes,https://mytee.live/us-army-tumbler,,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMjAzNzM2MzIwMzc4ODc4IiwiYW5vbnltb3VzIjp0cnVlfQ:1jARed:LgoEEJ7Jh9x5Oen2mcAcKYINjWI,7,1,3
SHOPIFY,freedomfirstapparel.net,Freedom First Apparel,https://freedomfirstapparel.net/products/freedom-first-tumbler,436059527291407.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTE1NDczNjEzMTg0MjEwIiwiYW5vbnltb3VzIjp0cnVlfQ:1jARed:lJm2ufYTu1ZnohdXJ73lVHo8o1U,0,0,0
WOOCOMMERCE,geargiggle.com,Tumbler Shop,https://rebrand.ly/a0a75,874145713036980.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTA5MzI1ODAwNjc5NTUxIiwiYW5vbnltb3VzIjp0cnVlfQ:1jARed:qYVFgnpbRoHrE-lB7VQVDu6O9is,4,1,0
SHOPIFY,www.wickedkreations.com.au,Wicked Kreations,https://www.wickedkreations.com.au/collections/ready-made-tumblers/products/auto-open-personalised-473ml-tumbler,114787232459404.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTE1MTE2Njg2MTYwNzkzNSIsImFub255bW91cyI6dHJ1ZX0:1jARed:bhdhJjS7Pfy91GODk61z0zdGZoc,0,0,0
SHOPIFY,bluepagan.com,Blue Pagan,https://bluepagan.com/Thors-Hammer-Mjolnir-Tumbler,,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMjMyMDE3NTU2ODIzNTczNyIsImFub255bW91cyI6dHJ1ZX0:1jARed:Ud38py6h84RA-VSqssHqDbSCbiQ,82,4,0
SHOPIFY,cupomg.com,Cupomg.com,https://rebrand.ly/tumbler-hls76,703730619709394.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMTAyODc0NzExMjMxOTgyIiwiYW5vbnltb3VzIjp0cnVlfQ:1jARef:QrXj-u2vooydJARfZBcPcfPIxfI,13,15,7
TEEZILY,www.teezily.com,Christmas Movies,https://www.teezily.com/grinch-tea-cup,1411051239163190.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vMzkzNjc5NzMwNjk4OTg0IiwiYW5vbnltb3VzIjp0cnVlfQ:1jARef:87WbATuUowKSd51RbXTfFQ--pvg,16,3,0
BIGCOMMERCE,amazingsunshade.com,Dogs For Friendship,https://amazingsunshade.com/shih-tzu-tumbler/,341735086658842.0,http://dmmspy.com//external-url/?data=eyJ1cmwiOiJodHRwczovL3d3dy5mYWNlYm9vay5jb20vOTM5ODYxNTA5NDY1MjU2IiwiYW5vbnltb3VzIjp0cnVlfQ:1jARef:XoLHj17ctcf3ig5biH5ysXxTE1k,15,9,1
